,RiskPerformance,ExternalRiskEstimate,MSinceMostRecentTradeOpen,MSinceMostRecentDelq,MSinceMostRecentInqexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden
307,Bad,68,9,-7,0,95,59
308,Good,76,6,-7,0,42,2
309,Bad,82,14,-7,0,0,-8
310,Good,62,12,-7,0,120,83
311,Bad,79,9,-7,0,20,44
312,Bad,77,4,-7,0,69,17
313,Bad,82,3,18,0,3,45
314,Good,64,6,25,0,69,81
315,Good,68,1,39,0,75,58
316,Bad,57,13,29,0,100,-8
317,Bad,75,3,-7,0,56,101
318,Good,84,13,-7,0,0,87
319,Good,73,4,-7,0,68,80
320,Good,80,5,-8,0,6,90
321,Bad,61,13,9,0,10,2
322,Bad,79,2,26,0,15,-8
323,Good,89,40,-7,0,7,-8
324,Good,76,3,-7,0,16,42
325,Bad,64,2,3,0,9,-8
326,Bad,72,11,46,0,30,-8
327,Bad,58,4,6,0,45,100
328,Bad,80,19,-7,0,-8,74
329,Bad,59,10,19,0,49,84
330,Bad,62,13,18,0,29,-8
331,Bad,87,10,-7,0,9,70
332,Bad,52,13,5,0,41,90
333,Good,61,10,7,0,0,-8
334,Good,82,16,-7,0,36,47
335,Good,88,12,-7,0,2,60
336,Bad,64,6,-7,0,61,84
337,Good,89,5,-7,0,4,85
338,Good,83,6,-7,0,12,70
339,Bad,81,25,-7,0,0,68
340,Good,60,23,7,0,26,68
341,Good,66,7,0,0,18,92
342,Good,70,19,-7,0,58,-8
343,Bad,69,14,3,0,58,73
344,Bad,65,5,22,0,60,-8
345,Bad,60,50,4,0,61,-8
346,Good,76,22,-7,0,76,39
347,Bad,72,1,15,0,49,94
348,Bad,69,4,75,0,97,71
349,Bad,58,8,-7,0,44,54
350,Good,64,3,59,0,51,78
351,Good,82,1,-7,0,3,82
352,Good,67,5,-7,0,30,-8
353,Bad,66,2,63,0,94,121
354,Bad,63,4,47,0,52,75
355,Bad,76,0,-7,0,40,100
356,Bad,81,9,-7,0,3,-8
357,Good,57,0,0,0,40,90
358,Bad,58,7,22,0,95,78
359,Bad,78,2,-8,0,23,57
360,Good,73,4,26,0,-8,82
361,Bad,62,9,3,0,26,70
362,Good,72,4,34,0,6,60
363,Good,80,35,25,0,0,-8
364,Bad,74,11,7,0,1,-8
365,Bad,63,2,22,0,34,3
366,Bad,57,6,7,0,47,68
367,Bad,61,2,-7,0,92,-8
368,Bad,69,8,1,0,41,70
369,Good,64,8,72,0,120,91
370,Bad,55,2,6,0,96,41
371,Good,78,5,-8,0,42,-8
372,Bad,61,2,7,0,30,-8
373,Good,52,4,2,0,25,82
374,Bad,76,8,79,0,12,-8
375,Good,82,6,-7,0,10,40
376,Bad,81,12,1,0,1,86
377,Good,71,13,-8,0,23,42
378,Bad,71,5,44,0,38,83
379,Good,88,25,-7,0,0,-8
380,Good,87,8,-7,0,2,-8
381,Bad,66,14,1,0,112,91
382,Bad,61,8,6,0,39,60
383,Bad,82,4,-7,0,18,98
384,Bad,85,1,-7,0,1,-8
385,Bad,72,5,36,0,17,-8
386,Good,68,11,10,0,44,-8
387,Bad,68,8,-7,0,68,76
388,Bad,67,4,28,0,74,47
389,Bad,66,10,5,0,1,78
390,Good,68,10,37,0,44,-8
391,Bad,65,6,13,0,51,3
392,Bad,80,14,71,0,10,59
393,Good,60,29,2,0,4,-8
394,Good,65,3,-7,0,2,-8
395,Bad,66,18,-7,0,93,53
396,Bad,77,8,-7,0,0,-8
397,Bad,67,4,-7,0,44,95
398,Good,80,0,-7,0,22,-8
399,Good,75,1,-7,0,2,11
400,Good,73,2,-7,0,43,87
401,Good,84,23,-7,0,17,-8
402,Good,75,6,-7,0,15,95
403,Bad,73,6,-7,0,81,-8
404,Bad,65,2,-7,0,39,-8
405,Bad,70,4,45,0,93,67
406,Good,65,8,36,0,70,-8
407,Good,91,22,-7,0,1,-8
408,Good,89,2,-7,0,2,-8
409,Bad,73,18,12,0,21,62
410,Good,68,3,68,0,73,89
411,Bad,71,11,8,0,34,-8
412,Good,86,6,-7,0,6,-8
413,Bad,81,16,-7,0,-8,86
414,Good,74,4,-8,0,28,-8
415,Bad,69,7,50,0,30,93
416,Good,86,9,-7,0,7,132
417,Good,86,2,-7,0,7,-8
418,Bad,64,3,0,0,34,92
419,Good,77,3,-7,0,59,67
420,Bad,73,10,-8,0,81,93
421,Bad,74,23,7,0,16,48
422,Bad,62,2,59,0,73,113
423,Bad,67,3,10,0,27,101
424,Bad,70,7,79,0,49,85
425,Bad,58,27,33,0,82,42
426,Good,86,1,-7,0,1,21
427,Bad,63,3,-7,0,37,35
428,Bad,56,3,1,0,69,82
429,Bad,69,19,35,0,-8,-8
430,Good,61,2,1,0,40,100
431,Bad,66,1,-7,0,61,96
432,Good,88,16,-7,0,9,-8
433,Bad,59,11,4,0,20,91
434,Bad,80,0,-7,0,20,74
435,Good,85,6,77,0,1,-8
436,Good,57,13,6,0,86,-8
437,Bad,74,1,29,0,28,27
438,Bad,54,15,3,0,28,-8
439,Good,83,43,-7,0,10,84
440,Bad,60,5,19,0,22,-8
441,Good,63,6,5,0,74,48
442,Bad,69,4,54,0,48,71
443,Good,66,5,62,0,37,-8
444,Bad,77,8,-7,0,51,57
445,Bad,63,4,21,0,72,97
446,Bad,65,19,25,0,72,114
447,Bad,67,1,-7,0,36,50
448,Bad,71,8,38,0,82,92
449,Bad,66,9,16,0,0,64
450,Bad,67,6,1,0,79,60
451,Bad,60,25,7,0,-8,-8
452,Bad,66,4,62,0,46,79
453,Bad,56,16,12,0,104,86
454,Bad,55,66,4,0,56,-8
455,Bad,73,2,29,0,30,-8
456,Bad,70,4,-7,0,64,98
457,Bad,66,9,0,0,33,70
458,Good,68,2,-7,0,22,92
459,Good,70,9,-8,0,0,50
460,Bad,72,10,55,0,58,-8
461,Bad,60,5,-7,0,-8,97
462,Bad,66,6,-7,0,89,92
463,Good,64,8,23,0,65,96
464,Bad,67,9,6,0,70,91
465,Good,67,2,25,0,39,89
466,Bad,73,16,12,0,47,77
467,Bad,58,4,6,0,0,74
468,Bad,84,6,-7,0,1,91
469,Good,89,6,-7,0,10,-8
470,Bad,54,13,4,0,65,53
471,Good,70,13,-7,0,39,-8
472,Bad,60,22,-7,0,92,63
473,Good,74,2,-7,0,31,69
474,Good,67,1,12,0,30,59
475,Bad,72,0,26,0,2,82
476,Bad,70,3,48,0,94,-8
477,Good,76,1,79,0,25,83
478,Bad,62,14,16,0,78,77
479,Good,75,13,-7,0,56,-8
480,Bad,57,4,9,0,53,83
481,Bad,66,2,-7,0,100,53
482,Good,79,16,-7,-7,65,71
483,Good,79,6,-7,-7,13,-8
484,Good,88,16,-7,-7,7,-8
485,Good,90,4,-7,-7,0,98
486,Good,72,8,49,-7,0,-8
487,Good,61,20,29,-7,-8,10
488,Bad,75,2,-7,-7,56,78
489,Good,56,7,12,-7,5,37
490,Bad,65,2,6,-7,58,88
491,Good,85,20,-7,-7,11,-8
492,Bad,88,2,-7,-7,4,-8
493,Good,72,7,-7,-7,7,82
494,Bad,69,3,20,-7,29,-8
495,Bad,69,3,9,-7,-8,115
496,Bad,59,4,6,-7,36,76
497,Good,73,15,14,-7,8,28
498,Good,73,14,-7,-7,17,66
499,Bad,63,2,-7,-7,73,-8
500,Good,89,10,-7,-7,1,57
501,Good,86,14,-7,-7,30,66
502,Bad,65,17,5,-7,31,76
503,Bad,65,8,67,-7,78,77
504,Bad,59,3,2,-7,46,74
505,Bad,63,13,-7,-7,58,-8
506,Bad,59,14,1,-7,59,-8
507,Bad,63,10,-7,-7,88,70
508,Bad,78,51,10,-7,0,-8
509,Good,72,2,-7,-7,69,52
510,Bad,61,11,42,-7,47,91
511,Good,71,6,-7,-7,49,-8
512,Good,82,9,32,-7,19,76
513,Bad,63,11,17,-7,18,-8
514,Bad,62,13,6,-7,92,-8
515,Good,77,8,45,-7,43,-8
516,Bad,62,5,4,-7,28,32
517,Bad,72,11,-7,-7,45,63
518,Good,60,8,10,-7,54,59
519,Good,85,9,-7,-7,3,56
520,Good,82,22,-7,-7,45,-8
521,Good,84,4,-7,-7,7,92
522,Bad,75,5,-7,-7,10,36
523,Good,67,2,10,-7,23,-8
524,Bad,56,5,7,-7,65,67
525,Bad,62,2,12,-7,43,81
526,Bad,57,3,9,-7,85,39
527,Bad,70,2,26,-7,38,100
528,Bad,59,4,-7,-7,66,83
529,Bad,71,7,73,-7,73,-8
530,Bad,65,13,6,-7,0,88
531,Bad,62,1,2,-7,17,66
532,Bad,70,1,-7,-7,34,88
533,Bad,83,11,12,-7,0,-8
534,Good,84,14,-7,-7,17,-8
535,Good,78,15,-7,-7,-8,-8
536,Bad,75,8,-7,-7,12,-8
537,Bad,69,4,-7,-7,70,-8
538,Good,75,7,-7,-7,70,45
539,Good,85,11,-7,-7,1,87
540,Bad,70,21,15,-7,28,-8
541,Good,73,17,23,-7,35,-8
542,Good,86,2,-7,-7,12,88
543,Bad,57,4,1,-7,43,-8
544,Good,86,8,-7,-7,3,-8
545,Good,77,10,-7,-7,58,46
546,Good,77,1,45,-7,4,47
547,Bad,86,2,-7,-7,5,57
548,Bad,69,8,9,-7,9,86
549,Good,88,5,-7,-7,7,-8
550,Bad,65,3,22,-7,45,53
551,Bad,67,2,-7,-7,87,100
552,Bad,63,5,6,-7,68,90
553,Bad,58,2,-7,-7,101,76
554,Bad,74,1,-7,-7,12,80
555,Good,89,9,-7,-7,7,-8
556,Good,73,20,48,-7,34,-8
557,Bad,65,10,-7,-7,76,-8
558,Bad,58,16,9,-7,75,84
559,Good,82,24,-7,-7,36,-8
560,Bad,57,29,6,-7,26,47
561,Good,82,3,-7,-7,18,62
562,Bad,75,6,18,-7,44,-8
563,Bad,72,6,23,-7,39,-8
564,Bad,61,14,7,-7,63,77
565,Bad,73,18,-7,-7,38,-8
566,Good,87,70,-7,-7,11,-8
567,Good,71,31,37,-7,55,-8
568,Good,74,5,19,-7,41,90
569,Bad,69,3,-7,-7,5,-8
570,Bad,56,15,38,-7,-8,47
571,Bad,56,18,0,-7,101,-8
572,Bad,73,3,26,-7,22,-8
573,Bad,70,7,25,-7,38,63
574,Bad,55,7,7,-7,93,91
575,Good,85,6,-7,-7,6,62
576,Bad,80,5,-7,-7,7,83
577,Good,87,20,-7,-7,5,74
578,Good,89,9,-7,-7,8,-8
579,Good,80,9,-7,-7,23,91
580,Bad,83,2,-7,-7,13,92
581,Good,71,32,-7,-7,48,-8
582,Bad,58,9,6,-7,88,44
583,Good,72,1,-7,-7,55,-8
584,Good,89,11,-7,-7,0,-8
585,Good,63,3,7,-7,70,100
586,Good,88,38,-7,-7,7,-8
587,Good,69,3,25,-7,1,97
588,Bad,65,12,34,-7,92,85
589,Bad,79,14,-8,-7,70,60
590,Good,76,8,70,-7,32,-8
591,Good,72,2,-7,-7,34,61
592,Good,72,12,79,-7,41,65
593,Good,62,10,4,-7,27,-8
594,Good,72,4,53,-7,33,-8
595,Bad,76,2,-7,-7,25,56
596,Bad,61,4,35,-7,-8,-8
597,Bad,72,2,-7,-7,55,-8
598,Good,85,2,-7,-7,28,68
599,Bad,74,1,-7,-7,90,79
600,Good,75,7,22,-7,0,110
601,Bad,68,3,36,-7,0,62
602,Good,76,1,11,-7,12,-8
603,Good,85,7,-7,-7,1,79
604,Bad,87,18,-7,-7,47,6
605,Good,85,2,-7,-7,12,74
606,Bad,63,7,25,-7,58,87
607,Good,82,4,28,-7,9,88
608,Bad,66,20,5,-7,51,81
609,Bad,71,5,-7,-7,24,-8
610,Good,79,1,-8,-7,27,96
611,Good,75,3,44,-7,47,11
612,Good,88,16,-7,-7,0,-8
613,Good,88,14,-7,-7,2,15
614,Bad,67,8,-8,-7,53,39
615,Bad,59,18,0,-7,61,23
616,Bad,76,11,-7,-7,62,14
617,Bad,67,2,-7,-7,42,69
618,Bad,65,7,-8,-7,7,88
619,Bad,65,6,2,-7,91,78
620,Bad,78,25,-7,-7,56,21
621,Bad,60,13,2,-7,60,92
622,Good,86,9,-7,-7,0,-8
623,Good,83,8,-7,-7,5,39
624,Bad,84,32,45,-7,0,-8
625,Good,69,4,-7,9,32,84
626,Bad,72,28,-7,8,48,-8
627,Bad,65,1,-7,1,75,-8
628,Good,86,5,-7,8,5,3
629,Bad,68,3,-7,3,65,97
630,Good,90,9,-7,9,1,85
631,Bad,83,28,-7,21,14,-8
632,Good,68,3,9,-8,43,-8
633,Good,89,12,-7,20,0,-8
634,Bad,62,4,3,7,75,96
635,Bad,63,11,49,0,86,-8
636,Bad,80,5,-7,0,19,-8
637,Good,80,28,-7,16,51,49
638,Good,87,22,-7,-8,13,-8
639,Bad,-9,24,-7,3,-8,-8
640,Good,84,7,-7,6,44,83
641,Bad,64,3,-7,6,50,87
642,Bad,76,1,-7,0,51,51
643,Good,79,18,70,19,7,42
644,Good,66,7,23,1,39,77
645,Bad,84,2,-7,1,19,98
646,Bad,60,7,30,6,92,-8
647,Good,76,14,7,0,13,-8
648,Bad,56,2,11,0,9,96
649,Good,68,2,16,1,85,-8
650,Good,81,2,73,5,3,-8
651,Good,70,2,34,2,52,63
652,Bad,57,5,5,5,81,92
653,Good,84,5,-7,2,10,86
654,Good,79,6,-7,-8,56,-8
655,Bad,83,18,-7,0,28,-8
656,Bad,71,5,52,4,55,36
657,Bad,66,5,48,5,99,-8
658,Bad,67,33,15,0,0,-8
659,Good,81,11,-7,3,79,50
660,Good,80,7,-7,13,19,80
661,Good,65,6,44,8,59,80
662,Good,72,6,5,7,0,8
663,Good,83,40,-7,5,32,-8
664,Bad,-9,-9,-9,-9,-9,-9
665,Good,86,3,59,8,1,85
666,Bad,68,0,-7,0,14,72
667,Good,80,4,-7,11,35,-8
668,Good,86,11,-7,8,4,82
669,Bad,75,2,41,2,3,62
670,Good,88,17,-7,13,0,-8
671,Good,89,12,-7,12,6,32
672,Bad,65,5,6,1,63,73
673,Good,78,4,-7,3,90,-8
674,Good,83,3,-7,3,28,95
675,Bad,60,5,8,6,26,-8
676,Good,66,4,-7,0,37,83
677,Bad,67,25,2,4,26,-8
678,Bad,67,3,-7,0,81,85
679,Good,88,13,-7,0,2,-8
680,Bad,87,3,-7,2,7,68
681,Bad,64,5,-7,2,84,-8
682,Good,81,23,45,23,0,-8
683,Bad,78,19,25,-8,24,-8
684,Good,68,3,5,2,6,98
685,Bad,84,11,55,10,5,-8
686,Bad,64,4,7,11,54,100
687,Bad,62,2,-7,1,67,13
688,Bad,90,9,-7,-8,6,-8
689,Good,77,3,22,0,2,-8
690,Bad,54,5,11,2,58,67
691,Good,86,1,-7,4,5,-8
692,Bad,60,8,7,8,36,-8
693,Good,88,3,-7,2,1,97
694,Good,87,2,-7,3,3,83
695,Bad,78,2,-7,7,32,110
696,Good,72,2,-7,2,50,91
697,Good,93,13,-7,13,0,-8
698,Bad,79,2,72,0,7,85
699,Bad,58,2,1,9,62,70
700,Good,64,13,7,4,35,72
701,Good,76,14,-7,11,17,51
702,Good,83,16,66,-8,9,-8
703,Good,72,2,-7,2,93,99
704,Good,80,5,56,4,9,83
705,Bad,57,2,8,1,102,-8
706,Bad,72,15,-7,2,39,-8
707,Good,85,13,82,12,1,93
708,Good,73,2,39,1,9,94
709,Bad,80,8,-7,10,13,54
710,Bad,55,17,25,2,100,-8
711,Good,61,17,1,5,84,-8
712,Good,69,36,24,-8,51,-8
713,Good,77,8,42,7,9,100
714,Good,86,5,19,-8,7,-8
715,Good,45,3,1,11,62,69
716,Bad,55,7,8,7,100,85
717,Bad,75,6,-7,0,76,93
718,Good,76,28,-7,0,59,56
719,Bad,64,13,60,12,86,39
720,Bad,60,11,7,10,42,-8
721,Good,86,14,-7,0,31,56
722,Bad,64,5,-7,0,92,-8
723,Bad,86,6,-7,4,0,-8
724,Good,64,2,22,1,63,55
725,Bad,72,25,-7,9,90,6
726,Good,86,5,-7,0,7,-8
727,Good,84,5,48,5,8,-8
728,Bad,61,2,-7,2,0,81
729,Good,79,4,3,3,5,-8
730,Good,78,2,20,2,2,77
731,Bad,57,6,1,13,84,71
732,Good,75,5,-7,1,14,56
